序号,单词,日期,,,,,,,,,,中文释义
79,densité,,,,,,,,,,,密度
80,volcanique,,,,,,,,,,,火山的
81,pratiquement,,4,0,,,,,,,,事实上
82,littorale,,,,,,,,,,,沿海的
83,regrouper,,,,,,,,,,,集中
84,volcan,,,,,,,,,,,火山
85,surpeuplé,,,,,,,,,,,挤满人的
86,orientale,,,,,,,,,,,东
87,envahir,,,,,,,,,,,入侵
88,assaut,,,,,,,,,,,突击
89,pentes,,,,,,,,,,,斜坡
90,c?tier,,,,,,,,,,,沿海的
91,bourg,,,,,,,,,,,乡镇
92,hameau,,,,,,,,,,,小村庄
93,isolé,,,,,,,,,,,孤独的
94,terrasse,,,,,,,,,,,阳台
95,flanc,,,,,,,,,,,侧面
96,contraster,,4,4,4,,,,,,,对比
97,agitation,,4,0,,,,,,,,摇动
98,augmentation,,4,0,,,,,,,,增大
99,emploi,,,,,,,,,,,用法
100,triplé,14-02-2019,,,,,,,,,,三倍
101,comte,,,,,,,,,,,伯爵
102,empoisonné,,,,,,,,,,,毒死
103,choucroute,,,,,,,,,,,酸菜
104,bourré,,,,,,,,,,,塞满的
105,arsenic,,,,,,,,,,,砒霜
106,grabataire,,,,,,,,,,,长卧不起的
107,inspecteur,,,,,,,,,,,检察员
108,repos,,,,,,,,,,,休息
109,investigation,,,,,,,,,,,研究
110,majordome,,,,,,,,,,,管家
111,propriété,,,,,,,,,,,财产
112,central,,,,,,,,,,,中心的
113,abriter,,,,,,,,,,,遮护
114,privé,,,,,,,,,,,私人的
115,défunt,,,,,,,,,,,已故的
116,loger,,,,,,,,,,,待
117,annexe,,,,,,,,,,,附属的
118,matinée,,,,,,,,,,,上午
119,résident,,,,,,,,,,,居民
120,isoler,,,,,,,,,,,隔离
121,susceptible,,1,0,,,,,,,,敏感的
122,assassiné,,,,,,,,,,,刺杀的
123,corpulente,,,,,,,,,,,肥胖的
124,allemande,,,,,,,,,,,德国的
125,domestique,,,,,,,,,,,仆人
126,amoureux/se,,,,,,,,,,,钟情的
127,éconduire,,3,0,,,,,,,,回绝
128,pharmacie,,,,,,,,,,,药店
129,fanatique,,1,0,,,,,,,,狂热者
130,prétendre,18-02-2019,,,,,,,,,,声称
131,blanchir,,,,,,,,,,,使洁白
132,repasser,,,,,,,,,,,回来
133,linge,,,,,,,,,,,衬衣
134,velours,,,,,,,,,,,丝绒
135,moquer,,,,,,,,,,,嘲笑
136,casser,,,,,,,,,,,打碎
137,croisé,,,,,,,,,,,交叉的
138,martiaux,,,,,,,,,,,战争的
139,dévoreur,,4,,,,,,,,,崇拜者
140,élu,,,,,,,,,,,当选者
141,canton,,,,,,,,,,,地区
142,drame,,4,,,,,,,,,悲剧
143,taux,,,,,,,,,,,价格
144,élevé,,,,,,,,,,,高贵的
145,cholestérol,,,,,,,,,,,胆固醇
146,arpenter,,3,,,,,,,,,测量
147,assassin,,,,,,,,,,,刺客
148,stopper,,,,,,,,,,,止住
149,enquête,,,,,,,,,,,调查
150,pot,,,,,,,,,,,壶
151,géranium,,,,,,,,,,,香叶油
152,projectile,,,,,,,,,,,抛射体
153,écrase,,,,,,,,,,,压烂
154,douleur,,,,,,,,,,,疼痛
155,abattre,,,,,,,,,,,打死
156,carte,,,,,,,,,,,证件
157,manoir,,,,,,,,,,,小城堡
158,propriétaire,,,,,,,,,,,物主
159,analyse,,,,,,,,,,,分析
160,hospitalier,19-02-2019,,,,,,,,,,医院的
161,religion,,,,,,,,,,,宗教
162,rite,,,,,,,,,,,礼仪
163,incidence,,,,,,,,,,,后果
164,croyance,,,,,,,,,,,信仰
165,adapter,,,,,,,,,,,使适应
166,coutume,,,,,,,,,,,习俗
167,administrer,,,,,,,,,,,治理
168,imposer,,,,,,,,,,,强迫
169,végétarien,,,,,,,,,,,素食的
170,advenir,,,,,,,,,,,突然发生
171,deuil,,,,,,,,,,,丧事
172,révéler,,,,,,,,,,,泄露
173,absorber,,,,,,,,,,,吸收
174,dose,,,,,,,,,,,剂量
175,poison,,,,,,,,,,,毒药
176,légiste,,,,,,,,,,,法学家
177,déterminer,,,,,,,,,,,决定
178,incriminer,,,,,,,,,,,控告
179,soup?onner,,,,,,,,,,,怀疑
180,neveu,,,,,,,,,,,侄子
181,reprocher,,,,,,,,,,,责备
182,dépenser,,,,,,,,,,,消费
183,excessif,,,,,,,,,,,过分的
184,quereller,,,,,,,,,,,争吵
185,penchant,,,,,,,,,,,爱好
186,conquérir,,,,,,,,,,,获得
187,considérer,,,,,,,,,,,看中
188,testament,,,,,,,,,,,遗言
189,différend,,,,,,,,,,,纠纷
